SIC_Section,SIC_Codes,id,name,pointx_class,classname,postcode,M,IC,PST,AER,lon,lat
Information and Communication,5911,4586,Tilling Productions Ltd,2080122,Film and Video Services,W1F,0,1,0,0,-0.13430934,51.51411238
Information and Communication,5911,4587,T V C Soho,2080122,Film and Video Services,W1F 9NP,0,1,0,0,-0.136170042,51.51195678
Information and Communication,5911,4602,M J Z Film Production Services,2080122,Film and Video Services,W1F 9UE,0,1,0,0,-0.13502034,51.51152485
Information and Communication,5911,4613,Absolute,2080122,Film and Video Services,W1F 8PX,0,1,0,0,-0.136592812,51.51431054
Information and Communication,5911,4615,Run V T,2080122,Film and Video Services,W1T 1PW,0,1,0,0,-0.135634898,51.51793369
Information and Communication,5911,4619,Lola Post Production Ltd,2080122,Film and Video Services,W1F 7TA,0,1,0,0,-0.1401677,51.51429534
Information and Communication,5911,4576,Mammoth Screen,2080122,Film and Video Services,W1W 6YF,0,1,0,0,-0.140266302,51.52036685
Information and Communication,5911,3878,Creative Minds Films Ltd,2080122,Film and Video Services,W2 2HG,0,1,0,0,-0.163390748,51.51453539
Information and Communication,5911,4633,The Moving Picture Co,2080122,Film and Video Services,W1F 0NL,0,1,0,0,-0.134371275,51.51365474
Information and Communication,5911,4640,Wildgaze Films,2080122,Film and Video Services,W1D 3DR,0,1,0,0,-0.13124709,51.51427945
Information and Communication,5911,4645,Ecosse Films Ltd,2080122,Film and Video Services,WC2H 7DQ,0,1,0,0,-0.131142077,51.50909808
Information and Communication,5911,4652,Run V T Ltd,2080122,Film and Video Services,W1T 1PS,0,1,0,0,-0.13568791,51.51811798
Information and Communication,5911,4694,The Edge Picture Company,2080122,Film and Video Services,WC2H 9JJ,0,1,0,0,-0.125909829,51.51334
Information and Communication,5911,4697,Indigo Television,2080122,Film and Video Services,W1U 5JU,0,1,0,0,-0.152333235,51.52102516
Information and Communication,5911,4703,Lionsgate Films,2080122,Film and Video Services,W1W 8HJ,0,1,0,0,-0.139188025,51.51782285
Information and Communication,5911,4704,Hub Media Development,2080122,Film and Video Services,W1H 1DP,0,1,0,0,-0.162535671,51.52002539
Information and Communication,5911,4713,20th Century Fox Film Co Ltd,2080122,Film and Video Services,W1D 3QU,0,1,0,0,-0.132853022,51.51465753
Information and Communication,5911,4719,Sub-ti Ltd,2080122,Film and Video Services,W1S,0,1,0,0,-0.141255485,51.50810776
Information and Communication,5911,4746,Th1ng,2080122,Film and Video Services,W1F 8JP,0,1,0,0,-0.135944174,51.51558347
Information and Communication,5911,4747,Embargo Films,2080122,Film and Video Services,W1F 0UJ,0,1,0,0,-0.134160292,51.51317478
Information and Communication,5911,4748,White Coat Productions,2080122,Film and Video Services,W1S 2PZ,0,1,0,0,-0.141427443,51.51344304
Information and Communication,5911,4760,Cinesite Ltd,2080122,Film and Video Services,W1W 7JG,0,1,0,0,-0.142053079,51.51719383
Information and Communication,5911,4761,Flawless Films,2080122,Film and Video Services,W1F 0LF,0,1,0,0,-0.135792836,51.51272414
Information and Communication,5911,4765,Skypower Ltd,2080122,Film and Video Services,W1W 7LT,0,1,0,0,-0.142404836,51.51846735
Information and Communication,5911,4795,Blink Prods,2080122,Film and Video Services,W1D 3SH,0,1,0,0,-0.133117569,51.51400349
Information and Communication,5911,5118,Development Media International Ltd,2080122,Film and Video Services,W1D 3JQ,0,1,0,0,-0.132118622,51.51411348
Information and Communication,5911,6070,First Freedom Productions Ltd,2080122,Film and Video Services,W1H 2HN,0,1,0,0,-0.161019672,51.51937216
Information and Communication,5911,6138,Rattling Stick,2080122,Film and Video Services,W1S 1AW,0,1,0,0,-0.145755374,51.5144018
Information and Communication,5911,6431,Location Partnership,2080122,Film and Video Services,W1T 1AF,0,1,0,0,-0.140217072,51.51803701
Information and Communication,5911,6545,Bedlam Productions,2080122,Film and Video Services,W1W 8LU,0,1,0,0,-0.140499255,51.51606313
Information and Communication,5911,6606,Special Treats Productions,2080122,Film and Video Services,W1F 9HR,0,1,0,0,-0.136897226,51.51214818
Information and Communication,5911,7173,Annex Films,2080122,Film and Video Services,W1F 7QL,0,1,0,0,-0.138213057,51.51345501
Information and Communication,5911,7459,Open Mike Productions,2080122,Film and Video Services,W1F 0UN,0,1,0,0,-0.13417139,51.51325589
Information and Communication,5911,7526,Eye to Eye Television Ltd,2080122,Film and Video Services,W1W 7FA,0,1,0,0,-0.142654171,51.51765298
Information and Communication,5911,8046,Black Dog Films,2080122,Film and Video Services,W1F 9RH,0,1,0,0,-0.136823117,51.51255167
Information and Communication,5911,8115,Blue Zoo Production,2080122,Film and Video Services,NW1 3AU,0,1,0,0,-0.143335922,51.52357184
Information and Communication,5911,8614,Angst Productions,2080122,Film and Video Services,W1F 8WY,0,1,0,0,-0.135481393,51.51505724
Information and Communication,5911,8795,Done & Dusted,2080122,Film and Video Services,W1T 3EZ,0,1,0,0,-0.135016714,51.5162009
Information and Communication,5911,8927,Fin London,2080122,Film and Video Services,W1D 4NS,0,1,0,0,-0.131276442,51.51532305
Information and Communication,5911,9271,Pathe,2080122,Film and Video Services,W1F 7TY,0,1,0,0,-0.139018694,51.51522313
Information and Communication,5911,9566,Ipcress Films Ltd,2080122,Film and Video Services,W1F 9ST,0,1,0,0,-0.13654957,51.51289803
Information and Communication,5911,9721,British Independent Film Awards,2080122,Film and Video Services,WC2N 5PE,0,1,0,0,-0.125394784,51.5076305
Information and Communication,5911,9848,World Productions,2080122,Film and Video Services,W1F 0TA,0,1,0,0,-0.133324863,51.51281078
Information and Communication,5911,10051,Picasso Pictures,2080122,Film and Video Services,W1F 0DB,0,1,0,0,-0.134880967,51.51387867
Information and Communication,5911,10168,Element Pictures,2080122,Film and Video Services,W1W 8DF,0,1,0,0,-0.138236281,51.51677361
Information and Communication,5911,10746,Sorted Media,2080122,Film and Video Services,W1D 4EG,0,1,0,0,-0.131070518,51.51401585
Information and Communication,5911,11019,Magic Light Pictures Ltd,2080122,Film and Video Services,W1W 7TS,0,1,0,0,-0.13939102,51.51956162
Information and Communication,5911,11102,Violet Productions,2080122,Film and Video Services,W1T 3BL,0,1,0,0,-0.138452794,51.51817988
Information and Communication,5911,11200,12 Yard,2080122,Film and Video Services,W1T 3EX,0,1,0,0,-0.135397996,51.51674651
Information and Communication,5911,11262,Carnival Films,2080122,Film and Video Services,WC2N 4HN,0,1,0,0,-0.124350217,51.5099069
Information and Communication,5911,11263,I Q Studios,2080122,Film and Video Services,SW1P 3JA,0,1,0,0,-0.126184286,51.4968161
Information and Communication,5911,11394,Celebro Studios,2080122,Film and Video Services,W1W 8QJ,0,1,0,0,-0.140591166,51.5159297
Information and Communication,5911,11428,Fresh Film Productions Ltd,2080122,Film and Video Services,W1W 7ND,0,1,0,0,-0.141293096,51.51745157
Information and Communication,5911,11507,The Headquarters,2080122,Film and Video Services,W1F 8DZ,0,1,0,0,-0.136566673,51.51459789
Information and Communication,5911,11581,2am,2080122,Film and Video Services,W1F 0TA,0,1,0,0,-0.133320468,51.51281251
Information and Communication,5911,11672,Head High Productions,2080122,Film and Video Services,W2 2QG,0,1,0,0,-0.16499946,51.51574758
Information and Communication,5911,12175,Superplex Pictures,2080122,Film and Video Services,NW8 9SE,0,1,0,0,-0.174633795,51.53252495
Information and Communication,5911,12210,Art Touches Art Films,2080122,Film and Video Services,W1B 2QD,0,1,0,0,-0.141591133,51.51367045
Information and Communication,5911,12392,Dartmouth Films,2080122,Film and Video Services,WC2R 1LA,0,1,0,0,-0.117977957,51.51101881
Information and Communication,5911,12457,76 Ltd,2080122,Film and Video Services,W1W 7TL,0,1,0,0,-0.140231492,51.51909835
Information and Communication,5911,12473,Smith & Jones,2080122,Film and Video Services,W1J 6BR,0,1,0,0,-0.14458878,51.50987721
Information and Communication,5911,12589,Incredibly Friendly,2080122,Film and Video Services,W9 1AL,0,1,0,0,-0.182860111,51.52363325
Information and Communication,5911,12879,Kindle Entertainment,2080122,Film and Video Services,W1T 3BL,0,1,0,0,-0.138452794,51.51817988
Information and Communication,5911,12932,Chris Mugford,2080122,Film and Video Services,W1H 1DP,0,1,0,0,-0.162535671,51.52002539
Information and Communication,5911,12937,Elements Pictures Ltd,2080122,Film and Video Services,W1W 5NG,0,1,0,0,-0.143690803,51.52335264
Information and Communication,5911,12940,Bootleg Film Ltd,2080122,Film and Video Services,W1D 4AG,0,1,0,0,-0.13150518,51.51395983
Information and Communication,5911,12958,Molucca Media,2080122,Film and Video Services,W1D 4EG,0,1,0,0,-0.131070518,51.51401585
Information and Communication,5911,13102,Primal Media Ltd,2080122,Film and Video Services,W1W 7LZ,0,1,0,0,-0.141255088,51.51725223
Information and Communication,5911,13169,Carnage Films,2080122,Film and Video Services,W1W 7BQ,0,1,0,0,-0.139505893,51.51851132
