id,lon,lat
89195da4ba7ffff,-0.159686173,51.50361474
89195da4b2bffff,-0.175195387,51.50024049
89194ad140bffff,-0.126422971,51.49190293
89195da4aafffff,-0.185040763,51.52099231
89195da4a33ffff,-0.189660661,51.52077672
89195da49b7ffff,-0.125709472,51.5078415
89195da493bffff,-0.141217316,51.50447264
89195da4843ffff,-0.175451266,51.52939221
89195da4b8fffff,-0.168570519,51.51115499
89195da4b13ffff,-0.173189031,51.51093984
89195da4a97ffff,-0.183035353,51.53169013
89195da4a1bffff,-0.198553916,51.52831518
89195da4923ffff,-0.138257776,51.50195883
89195da48a7ffff,-0.148086913,51.52271021
89195da482bffff,-0.163600453,51.51933951
89194ad14d3ffff,-0.124408619,51.50260007
89195da4b77ffff,-0.178157401,51.50275379
89194ad1457ffff,-0.129381169,51.49441701
89195da4a03ffff,-0.195589161,51.52580243
89195da4987ffff,-0.131627755,51.5128693
89195da490bffff,-0.147137403,51.50950006
89194ad16abffff,-0.146542274,51.48831786
89195da488fffff,-0.156971813,51.53025041
89195da4813ffff,-0.161591454,51.53003615
89195da4bdbffff,-0.182077326,51.5184793
89195da4e2fffff,-0.181378689,51.53441816
89195da496fffff,-0.152108269,51.50131588
89194ad321bffff,-0.113159936,51.51372189
89194ad1693ffff,-0.144531466,51.49901664
89195da4877ffff,-0.166562653,51.52185279
89194ad1617ffff,-0.149501682,51.49083168
89195da4bc3ffff,-0.179114225,51.51596621
89195da4b47ffff,-0.184082436,51.50778017
89195da49d3ffff,-0.145125951,51.52019668
89195da4957ffff,-0.15009795,51.51201367
89195da48dbffff,-0.170480307,51.53757555
89195da4babffff,-0.16726518,51.5059132
89195da4ab3ffff,-0.181728056,51.52644902
89195da4a37ffff,-0.186696915,51.51826377
89195da49bbffff,-0.133285462,51.51014188
89195da48c3ffff,-0.16751702,51.53506248
89195da4847ffff,-0.172488059,51.52687914
89195da4b93ffff,-0.165257276,51.51661146
89194ad1473ffff,-0.128080245,51.48917499
89195da4b17ffff,-0.170226938,51.50842656
89195da4a9bffff,-0.190620542,51.53398766
89195da49a3ffff,-0.130326179,51.50762801
89194ad324fffff,-0.124051577,51.51056881
89195da4927ffff,-0.135298572,51.49944496
89195da4d6bffff,-0.143468349,51.52292409
89194ad16c7ffff,-0.155421506,51.49585912
89195da48abffff,-0.155667232,51.52500954
89195da482fffff,-0.160638589,51.51682617
89194ad145bffff,-0.136955767,51.49671702
89195da4a83ffff,-0.187656044,51.53147485
